provincescode,bpscode,provincesname
ID.BE.LE,1707,"Lebong, Kab."
ID.BE.KE,1708,"Kepahiang, Kab."
ID.BE.BT,1709,"Bengkulu Tengah, Kab."
ID.BE.BE,1771,"Bengkulu, Kota"
ID.LA.LB,1801,"Lampung Barat, Kab."
ID.LA.TA,1802,"Tanggamus, Kab."
ID.LA.LS,1803,"Lampung Selatan, Kab."
ID.LA.LI,1804,"Lampung Timur, Kab."
ID.LA.LT,1805,"Lampung Tengah, Kab."
ID.LA.LU,1806,"Lampung Utara, Kab."
ID.LA.WK,1807,"Way Kanan, Kab."
ID.LA.TL,1808,"Tulang Bawang, Kab."
ID.LA.PS,1809,"Pesawaran, Kab."
ID.LA.PI,1810,"Pringsewu, Kab."
ID.LA.MS,1811,"Mesuji, Kab."
ID.LA.TB,1812,"Tulang Bawang Barat, Kab."
ID.LA.PB,1813,"Pesisir Barat, Kab."
ID.LA.BL,1871,"Bandar Lampung, Kota"
ID.LA.ME,1872,"Metro, Kota"
ID.BB.BA,1901,"Bangka, Kab."
ID.BB.BE,1902,"Belitung, Kab."
ID.BB.BB,1903,"Bangka Barat, Kab."
ID.BB.BG,1904,"Bangka Tengah, Kab."
ID.BB.BS,1905,"Bangka Selatan, Kab."
ID.BB.BT,1906,"Belitung Timur, Kab."
ID.BB.PP,1971,"Pangkal Pinang, Kota"
ID.KR.KA,2101,"Karimun, Kab."
ID.KR.BN,2102,"Bintan, Kab."
ID.KR.NA,2103,"Natuna, Kab."
ID.KR.LI,2104,"Lingga, Kab."
ID.KR.KP,2105,"Kepulauan Anambas, Kab."
ID.KR.BA,2171,"Batam, Kota"
ID.KR.TP,2172,"Tanjung Pinang, Kota"
ID.JK.KS,3101,"Adm. Kepulauan Seribu, Kab."
ID.JR.PN,3128,"Pangandaran, Kab."
ID.JK.JS,3171,"Jakarta Selatan, Kota"
ID.JK.JT,3172,"Jakarta Timur, Kota"
ID.JK.JP,3173,"Jakarta Pusat, Kota"
ID.JK.JB,3174,"Jakarta Barat, Kota"
ID.JK.JU,3175,"Jakarta Utara, Kota"
ID.JR.BR,3201,"Bogor, Kab."
ID.JR.SM,3202,"Sukabumi, Kab."
ID.JR.CJ,3203,"Cianjur, Kab."
ID.JR.BD,3204,"Bandung, Kab."
ID.JR.GA,3205,"Garut, Kab."
ID.JR.TM,3206,"Tasikmalaya, Kab."
ID.JR.CS,3207,"Ciamis, Kab."
ID.JR.KU,3208,"Kuningan, Kab."
ID.JR.CR,3209,"Cirebon, Kab."
ID.JR.MA,3210,"Majalengka, Kab."
ID.JR.SD,3211,"Sumedang, Kab."
ID.JR.IN,3212,"Indramayu, Kab."
ID.JR.SB,3213,"Subang, Kab."
ID.JR.PU,3214,"Purwakarta, Kab."
ID.JR.KA,3215,"Karawang, Kab."
ID.JR.BS,3216,"Bekasi, Kab."
ID.JR.BB,3217,"Bandung Barat, Kab."
ID.JR.BG,3271,"Bogor, Kota"
ID.JR.SK,3272,"Sukabumi, Kota"
ID.JR.BN,3273,"Bandung, Kota"
ID.JR.CE,3274,"Cirebon, Kota"
ID.JR.BK,3275,"Bekasi, Kota"
ID.JR.DE,3276,"Depok, Kota"
ID.JR.CI,3277,"Cimahi, Kota"
ID.JR.TS,3278,"Tasikmalaya, Kota"
ID.JR.BJ,3279,"Banjar, Kota"
ID.JT.CI,3301,"Cilacap, Kab."
ID.JT.BY,3302,"Banyumas, Kab."
ID.JT.PB,3303,"Purbalingga, Kab."
ID.JT.BN,3304,"Banjarnegara, Kab."
ID.JT.KB,3305,"Kebumen, Kab."
ID.JT.PW,3306,"Purworejo, Kab."
ID.JT.WS,3307,"Wonosobo, Kab."
ID.JT.MM,3308,"Magelang, Kab."
ID.JT.BO,3309,"Boyolali, Kab."
ID.JT.KL,3310,"Klaten, Kab."
ID.JT.SH,3311,"Sukoharjo, Kab."
ID.JT.WG,3312,"Wonogiri, Kab."
ID.JT.KA,3313,"Karanganyar, Kab."
ID.JT.SG,3314,"Sragen, Kab."
ID.JT.GR,3315,"Grobogan, Kab."
ID.JT.BL,3316,"Blora, Kab."
ID.JT.RE,3317,"Rembang, Kab."
ID.JT.PA,3318,"Pati, Kab."
ID.JT.KU,3319,"Kudus, Kab."
ID.JT.JE,3320,"Jepara, Kab."
ID.JT.DE,3321,"Demak, Kab."
ID.JT.SM,3322,"Semarang, Kab."
ID.JT.TG,3323,"Temanggung, Kab."
ID.JT.KN,3324,"Kendal, Kab."
ID.JT.BT,3325,"Batang, Kab."
ID.JT.PK,3326,"Pekalongan, Kota"
ID.JT.PL,3327,"Pemalang, Kab."
ID.JT.TM,3328,"Tegal, Kab."
ID.JT.BR,3329,"Brebes, Kab."
